straekn_nr,rute_ty_k,rute_ty,rute_uty_k,rute_uty,navn,navndels,afm_rute_k,afm_rute,laengde,beskrivels,lang_beskr,uk_k_beskr,uk_l_beskr,d_k_beskr,d_l_beskr,ansvar_org,kontak_ved,betaling_k,betaling,belaegn_k,belaegn,handicap_k,handikap,ansva_v_k,ansva_v,startpkt_x,startpkt_y,slutpkt_x,slutpkt_y,svaerhed_k,svaerhed,obs,kategori_k,kategori,certifi_k,certifi,hierarki_k,hierarki,folder_k,folder,folde_link,foto_link1,foto_link2,filmlink,gpx_link,adr_id,link,temakode,temanavn,cvr_kode,cvr_navn,kommunekode,bruger_id,oprindkode,oprindelse,statuskode,status,off_kode,offentlig,versions_id,systid_fra,systid_til,oprettet
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"1",Ja,0.2,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","3",Genvej,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a8e80-7f0a-11ea-b14a-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"1",Ja,1.8,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51a9bdc-7f0a-11ea-b14b-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"1",Ja,0.3,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51aa8d4-7f0a-11ea-b14c-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"1",Ja,4.6,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c51ab5cc-7f0a-11ea-b14d-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Aars Skov,Aars Skov,"0",Nej,0.5,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c520a702-7f0a-11ea-b1a0-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"4",Spor i landskabet,Sporet ved Paradiset Gedsted - Blå rute,Paradiset Gedsted,"0",,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"519533","6282678","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,http://spor.dk/sporene/nordjylland/paradiset,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c52e8b42-7f0a-11ea-b1c3-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:58:42.016503+02
,"5",Vandrerute,"8",Andet,Illeris og Lodhøj Plantage - Rød rute,Illeris og Lodhøj Plantage,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"514177","6285857","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,https://www.vesthimmerland.dk/media/1705468/Illeris-Lodh%C3%B8j-og-Rotholm-Plantage-A4.pdf,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c52f7534-7f0a-11ea-b1d1-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:56:57.703881+02
,"5",Vandrerute,"4",Spor i landskabet,Sporet ved Hverrestrup Bakker,Hverrestrup Bakker,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"532671","6286368","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,http://vesthimmerland.dn.dk/naturen-i-vesthimmerland/naturomraader-i-vesthimmerland/hverrestrup-bakker/,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c52fdda8-7f0a-11ea-b1d8-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 15:50:03.491799+02
,"5",Vandrerute,"8",Andet,Livø,Livø,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"3",Staten,"505581","6305144","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,http://vesthimmerland.dn.dk/naturen-i-vesthimmerland/naturomraader-i-vesthimmerland/livoe/,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5309e96-7f0a-11ea-b1e2-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:47:25.05739+02
,"4",Mountainbikerute,"8",Andet,Uhrehøje Mountainbike ruter,Uhrehøje,"1",Ja,0.2,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"3",Ikke handicapegnet,"2",Kommune,"517333","6295520","0","0","5",Ekstrem,,"1",Lokal,"0","0","2",Sløjfe,"0",,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"3",Opmåling,"3",Gældende / Vedtaget,"1",Synlig for alle,c530af62-7f0a-11ea-b1e3-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2019-03-22 10:08:46.391599+01
,"5",Vandrerute,"8",Andet,Hærvejen,Vesthimmerland,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"0","0","0","0","2",Let,,"3",National,"0","0","1",Hovedrute,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c530bd68-7f0a-11ea-b1e4-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2019-03-29 10:50:13.827714+01
,"5",Vandrerute,"8",Andet,Naturstien Nibe-Hvalpsund,Vesthimmerland,"0",,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"535005","6305194","0","0","2",Let,,"2",Regional,"0","0","1",Hovedrute,"1",Ja,http://www.farsoe.dk/fileadmin/Arkiv/Billeder/Turisme/Inspiration/Kort_og_foldere/Naturstien_Nibe-Hvalpsund_nr._29_-_samlet_1.pdf,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c530e342-7f0a-11ea-b1e5-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 16:36:22.415276+02
,"5",Vandrerute,"8",Andet,Illeris og Lodhøj Plantage - Blå rute,Illeris og Lodhøj Plantage,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"513916","6284477","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,https://www.vesthimmerland.dk/media/1705468/Illeris-Lodh%C3%B8j-og-Rotholm-Plantage-A4.pdf,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c531215e-7f0a-11ea-b1e7-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:56:57.703881+02
,"5",Vandrerute,"8",Andet,Illeris og Lodhøj Plantage - Rød rute,Illeris og Lodhøj Plantage,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"514177","6285857","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,https://www.vesthimmerland.dk/media/1705468/Illeris-Lodh%C3%B8j-og-Rotholm-Plantage-A4.pdf,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5317082-7f0a-11ea-b1ea-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:56:57.703881+02
,"3",Cykelrute,"8",Andet,Nibe - Hvalpsund,Vesthimmerland,"0",,43,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"511729","6284019","0","0","9",Ukendt,,"2",Regional,"0","0","1",Hovedrute,"1",Ja,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5317e2e-7f0a-11ea-b1eb-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Fredrik den VII''s Kanal,Fredrik den VII''s Kanal,"0",,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"514673","6313428","0","0","2",Let,,"1",Lokal,"0","0","1",Hovedrute,"0",,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5319e90-7f0a-11ea-b1ec-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 16:28:21.4655+02
,"5",Vandrerute,"8",Andet,Lovns Sø,Lovns halvøen,"1",Ja,1.8,,,,,,,,,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"512687","6283259","0","0","9",Ukendt,,"1",Lokal,"0","0","4",Adgangssti,"0",,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c532a222-7f0a-11ea-b1f7-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2017-11-01 17:14:41.568873+01
,"5",Vandrerute,"8",Andet,Vilsted Sø,Vilsted Sø,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"8",Andet,"517759","6306457","0","0","2",Let,,"1",Lokal,"0","0","3",Genvej,"1",Ja,http://naturekspeditionen.dk/vilsted-soe.aspx,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c53320e4-7f0a-11ea-b1ff-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:48:56.934924+02
,"5",Vandrerute,"8",Andet,Vindblæs hede,Vindblæs,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"522898","6307938","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,http://www.naturturist.dk/hederne/himmerland.htm,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5334b00-7f0a-11ea-b202-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:52:07.958906+02
,"5",Vandrerute,"8",Andet,Vindblæs hede,Vindblæs,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"522898","6307938","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","3",Genvej,"1",Ja,http://www.naturturist.dk/hederne/himmerland.htm,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5337b2a-7f0a-11ea-b204-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:52:07.958906+02
,"5",Vandrerute,"8",Andet,Lovns halvøen - Gul rute,Lovns halvøen,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"529073","6301285","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","3",Genvej,"1",Ja,http://vesthimmerland.dn.dk/naturen-i-vesthimmerland/naturomraader-i-vesthimmerland/louns-halvoeen/,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5338a02-7f0a-11ea-b205-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 15:01:41.857045+02
,"5",Vandrerute,"8",Andet,Lovns halvøen - Grøn rute,Lovns halvøen,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"510954","6281919","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","8",Andet,"1",Ja,http://vesthimmerland.dn.dk/naturen-i-vesthimmerland/naturomraader-i-vesthimmerland/louns-halvoeen/,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c533a988-7f0a-11ea-b207-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 15:01:41.857045+02
,"5",Vandrerute,"8",Andet,Vilsted Sø,Vilsted Sø,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"3",Staten,"517759","6306457","0","0","2",Let,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,http://naturekspeditionen.dk/vilsted-soe.aspx,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c53412b0-7f0a-11ea-b20e-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:48:56.934924+02
,"5",Vandrerute,"8",Andet,Lovns halvøen - Grøn rute,Lovns halvøen,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"510954","6281919","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","8",Andet,"1",Ja,http://vesthimmerland.dn.dk/naturen-i-vesthimmerland/naturomraader-i-vesthimmerland/louns-halvoeen/,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5342958-7f0a-11ea-b20f-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 15:01:41.857045+02
,"5",Vandrerute,"8",Andet,Livø,Livø,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"3",Staten,"505584","6305146","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,http://vesthimmerland.dn.dk/naturen-i-vesthimmerland/naturomraader-i-vesthimmerland/livoe/,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5343786-7f0a-11ea-b210-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:47:25.05739+02
,"5",Vandrerute,"8",Andet,Møllestien Vindblæs,Vindblæs,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"521279","6309262","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","1",Hovedrute,"0",,,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5344532-7f0a-11ea-b211-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:50:28.654056+02
,"5",Vandrerute,"4",Spor i landskabet,Sporet ved Paradiset Gedsted - Gul rute,Paradiset Gedsted,"0",,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"519541","6282638","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,http://spor.dk/sporene/nordjylland/paradiset,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c534528e-7f0a-11ea-b212-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:58:42.016503+02
,"5",Vandrerute,"4",Spor i landskabet,Sporet ved Paradiset Gedsted - Gul rute,Paradiset Gedsted,"0",,0,,,,,,,Vesthimmerlands Kommune,,"0",,"9",Ukendt,"9",Ukendt,"1",Privat/forening,"519541","6282638","0","0","4",Svær/udfordrende,,"1",Lokal,"0","0","4",Adgangssti,"1",Ja,http://spor.dk/sporene/nordjylland/paradiset,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c534603a-7f0a-11ea-b213-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:58:42.016503+02
,"5",Vandrerute,"8",Andet,Vindblæs hede,Vindblæs,"1",Ja,0,,,,,,,Vesthimmerlands Kommune,gmun@vesthimmerland.dk,"0",,"9",Ukendt,"9",Ukendt,"2",Kommune,"522898","6307938","0","0","3",Middel/Moderat,,"1",Lokal,"0","0","1",Hovedrute,"1",Ja,http://www.naturturist.dk/hederne/himmerland.htm,,,,,,,"5802",t_5802_fac_li_t,"29189471",Vesthimmerlands Kommune,"820",Vesthimmerlands Kommune,"4",FOT / Tekniske kort,"3",Gældende / Vedtaget,"1",Synlig for alle,c5348af6-7f0a-11ea-b216-062b96cbb5a0,2020-04-15 13:18:01.958221+02,,2018-06-14 14:52:07.958906+02
